제조사,제품명,신고번호,등록일,유통기한,기능성
코스맥스바이오(주),치팅데이,200400200022381,20190619,제조일로부터 18개월.,"1) 차전자피식이섬유 : 배변활동 원활에 도움을 줄 수 있음.
2) 가르시니아캄보지아추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음. 
3) 프로바이오틱스 : 유산균 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음. "
(주)비티진,친구랑,20040020030107,20191203,2년,①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음
(주)서흥헬스케어,친구몰래 그린부스터,20130020024209,20210708,18개월,풋사과추출물 애플페논(Applephenon) : 체지방 감소에 도움을 줄 수 있음
엠에스바이오텍(주),친구몰래 레드,20040020020829,20210304,제조일로부터 24개월,"* 가르시니아캄보지아 추출물
① 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음"
엠에스바이오텍(주),친구몰래 블랙,20040020020747,20210208,제조일로부터 24개월,"* 가르시니아캄보지아 추출물
① 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음"
에스케이내추럴팜(주),친생다이어트리뉴,20040017106274,20150522,제조일로부터 24개월,"[녹차추출물 제품]1. 항산화에 도움을 줄 수 있음 2.체지방 감소에 도움을 줄 수 있음3. 혈중 콜레스테롤 개손에 도움을 줄 수 있음
"
동서바이오팜(주),친절한 차전자피&가르시니아 시즌2,20040017025612,20210414,제조일로부터 24개월까지,"[가르시니아캄보지아추추물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

[차전자피식이섬유] 혈중 콜레스테롤 개선·배변활동 원활에 도움을 줄 수 있음"
동서바이오팜(주),친절한 카테킨 & 옥타코사놀,20040017025611,20210414,제조일로부터 24개월까지,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[옥타코사놀함유유지]①지구력 증진에 도움을 줄 수 있음"
동서바이오팜(주),친절한 콜레우스 & 테아닌,20040017025613,20210414,제조일로부터 24개월까지,"[콜레우스포스콜리추출물] 체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)

[테아닌] 스트레스로 인한 긴장완화에 도움을 줄 수 있음

[나이아신] 체내 에너지 생성에 필요

[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B1] 탄수화물과 에너지 대사에 필요

[비타민B2]체내 에너지 생성에 필요"
큐어라벨(주),친절한 콜레우스&테아닌,20040017016386,20201116,제조일로부터 24개월,"[콜레우스포스콜리추출물] ① 체지방 감소에 도움을 줄 수 있음

[테아닌] ① 스트레스로 인한 긴장완화에 도움을 줄 수 있음

[나이아신] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요"
